date,Sub,FLOW,FLOW_lag1,FLOW_lag2,FLOW_lag3,TN,TN_lag1,TN_lag2,TN_lag3,TP,TP_lag1,TP_lag2,TP_lag3
2007-01-05,1,2.98,3.08,3.3,3.63,0.03145973154362416,0.0379539442039442,0.04664702581369248,0.06376900316294255,0.00025400820283370617,0.0003648839586339586,0.0007891414141414141,0.0028345321905927966
2007-01-05,2,0.442,0.471,0.477,0.458,0.03089911178146472,0.03956318314067783,0.02363343427284727,0.02628174025553938,7.593849505614211e-05,0.00011647794291106393,0.0002838923829489867,0.0008566836487142163
2007-01-05,3,0.268,0.278,0.285,0.291,0.026819029850746263,0.03563815614175326,0.02351364522417154,0.02625047728140512,2.9367053620784962e-05,3.701205702104982e-05,8.487654320987654e-05,0.00032136947944508086
2007-01-05,4,0.224,0.227,0.234,0.241,0.016947751322751323,0.019273127753303962,0.021219135802469133,0.02420470262793914,2.0306299603174603e-06,1.9833985968347196e-06,1.9537432731877175e-06,1.9066005839864762e-06
2007-01-05,5,0.0629,0.0747,0.0723,0.0746,0.0356974621680504,0.04105929892409143,0.04994621177193791,0.06562779267202859,2.4104987340281458e-05,3.036838712876196e-05,2.3372265765073508e-05,1.954870420017873e-05
2007-01-05,6,0.145,0.147,0.151,0.153,0.010217113665389528,0.010786722096245906,0.011037527593818984,0.011574074074074073,1.3409961685823752e-06,1.314877802973041e-06,1.2877115526122148e-06,1.2708787218591137e-06
2007-01-05,7,0.4,0.412,0.43,0.46,0.018171296296296297,0.020928847536857243,0.02406330749354005,0.027928743961352656,1.2586805555555556e-06,1.2107829917295935e-06,1.1843238587424633e-06,1.1473429951690818e-06
2007-01-05,8,0.0547,0.056,0.0581,0.0599,0.020439772496445255,0.02273478835978836,0.024701982533307833,0.027244481543312923,2.6448980973661046e-06,2.5834986772486775e-06,2.490119206986677e-06,2.395968589624683e-06
2007-01-05,9,0.0669,0.0686,0.0689,0.0702,0.019030615069479045,0.02497030558255048,0.016966349513519323,0.022257834757834757,3.5639151857388027e-06,1.616321131627254e-05,0.00011086921464279953,0.0008243642502901761
2007-01-05,10,0.148,0.152,0.158,0.163,0.01829954954954955,0.02048306530214425,0.023001640881387717,0.02620143149284253,0.00012043293293293292,0.00011954800194931773,0.00012160103141115798,0.00012710179504658032
2007-01-05,11,0.226,0.233,0.244,0.256,0.02043387413962635,0.022750755046892383,0.024950667880995748,0.027669270833333332,1.0652245165519501e-06,1.0282546494992845e-06,0.0,0.0
2007-01-05,12,0.0923,0.0942,0.0964,0.0983,0.016552305284699653,0.017938586144530942,0.01909001844167819,0.02072265551411024,1.968721158862004e-06,1.929012345679012e-06,1.8849892423543873e-06,1.848555065747334e-06
