date,sub,FLOW,FLOW_lag1,FLOW_lag2,FLOW_lag3,TN,TN_lag1,TN_lag2,TN_lag3,TP,TP_lag1,TP_lag2,TP_lag3
2019-01-08,1,0.406,0.425,0.456,0.502,0.042191206,0.044389978,0.046448587,0.049339678,0.000155366,0.000155773,0.000157367,0.000161391
2019-01-08,2,0.115,0.117,0.121,0.127,0.049416264,0.052330643,0.055192072,0.05951079,0.000177134,0.000177073,0.000176002,0.000174978
2019-01-08,3,0.0726,0.0738,0.0757,0.0786,0.050696358,0.053635953,0.056723666,0.06096268,9.33E-05,9.24E-05,9.14E-05,9.03E-05
2019-01-08,4,0.0687,0.0699,0.0721,0.0766,0.035716211,0.037752345,0.039810962,0.042609516,2.61E-05,2.60E-05,2.58E-05,2.54E-05
2019-01-08,5,0.0168,0.017,0.0174,0.0182,0.036995701,0.039760349,0.04277086,0.046932234,1.87E-05,1.86E-05,1.84E-05,1.83E-05
2019-01-08,6,0.0328,0.0333,0.0342,0.0361,0.036698284,0.038580247,0.040610786,0.042961937,2.28E-05,2.26E-05,2.25E-05,2.23E-05
2019-01-08,7,0.0739,0.0745,0.0753,0.0762,0.040877312,0.043810589,0.04688038,0.050731506,1.60E-05,1.58E-05,1.58E-05,1.55E-05
2019-01-08,8,0.0183,0.0185,0.0188,0.0191,0.0316864,0.033783784,0.035953507,0.039024627,1.57E-05,1.56E-05,1.54E-05,1.51E-05
2019-01-08,9,0.00949,0.00957,0.00965,0.00975,0.036588222,0.039305894,0.042338323,0.045584046,1.48E-05,1.46E-05,1.45E-05,1.44E-05
2019-01-08,10,0.0446,0.0452,0.0459,0.0468,0.029583956,0.031495821,0.033537077,0.036601773,1.84E-05,1.82E-05,1.80E-05,1.76E-05
2019-01-08,11,0.0421,0.0424,0.0427,0.0431,0.048660596,0.051864955,0.055295342,0.05934734,1.11E-05,1.11E-05,1.10E-05,1.09E-05
2019-01-08,12,0.0226,0.0228,0.0231,0.0234,0.052236971,0.055332196,0.058621934,0.062816556,1.60E-05,1.59E-05,1.57E-05,1.55E-05
2019-01-08,13,0.0265,0.0268,0.0271,0.0275,0.039788609,0.042582228,0.045698374,0.049242424,1.54E-05,1.52E-05,1.50E-05,1.48E-05
2019-01-08,14,0.00468,0.00475,0.00482,0.00491,0.044762979,0.048245614,0.05186722,0.056338161,4.60E-05,4.53E-05,4.47E-05,4.38E-05
2019-01-08,15,0.00855,0.00863,0.00874,0.00887,0.031270305,0.033662718,0.036417281,0.039928598,3.10E-05,3.08E-05,3.05E-05,3.00E-05
2019-01-08,16,0.0522,0.0526,0.0533,0.0547,0.033037108,0.035206309,0.037349732,0.039990859,1.51E-05,1.50E-05,1.49E-05,1.48E-05
2019-01-08,17,0.0127,0.0128,0.0129,0.0132,0.040737095,0.045301649,0.051500144,0.05787037,3.17E-05,3.16E-05,3.14E-05,3.07E-05
2019-01-08,18,0.00825,0.00838,0.00853,0.00871,0.050925926,0.054969946,0.059159394,0.064846707,4.29E-05,4.24E-05,4.18E-05,4.08E-05
2019-01-08,19,0.00556,0.00567,0.00584,0.00609,0.023314682,0.035722451,0.04796106,0.061766405,8.22E-05,8.10E-05,7.95E-05,7.68E-05
2019-01-08,20,0.0162,0.0163,0.0164,0.0165,0.042509717,0.044379118,0.046508017,0.049733446,4.89E-05,4.86E-05,4.83E-05,4.79E-05
2019-01-08,21,0.0267,0.0269,0.0273,0.0278,0.037019698,0.038981826,0.04091202,0.043298694,1.24E-05,1.24E-05,1.23E-05,1.22E-05
2019-01-08,22,0.00691,0.00694,0.00698,0.00702,0.016732996,0.018011527,0.019898122,0.021433471,2.09E-05,2.08E-05,2.07E-05,2.06E-05
2019-01-08,23,0.0361,0.0362,0.0364,0.0366,0.030297784,0.031876663,0.033386752,0.0351017,1.24E-05,1.24E-05,1.23E-05,1.22E-05
2019-01-08,24,0.124,0.126,0.129,0.135,0.033882168,0.035365226,0.036875538,0.039008916,4.72E-05,4.70E-05,4.69E-05,4.69E-05
2019-01-08,25,0.0783,0.0786,0.0791,0.0799,0.027641786,0.028861559,0.030142342,0.031868539,2.10E-05,2.09E-05,2.08E-05,2.07E-05
2019-01-08,26,0.156,0.161,0.168,0.182,0.037912512,0.039323096,0.041129299,0.042417074,0.000111289,0.00010999,0.000110229,0.000110017
2019-01-08,27,0.0559,0.0567,0.0576,0.059,0.050106009,0.052869227,0.056061921,0.060224419,4.53E-05,4.49E-05,4.44E-05,4.37E-05
2019-01-08,28,0.395,0.407,0.427,0.463,0.041901078,0.044362544,0.046621563,0.04924606,0.000152368,0.000152994,0.000155044,0.000158987
2019-01-08,29,0.696,0.731,0.786,0.872,0.041739836,0.044016315,0.046384648,0.049242907,0.000350881,0.000353081,0.000353407,0.000339789
2019-01-14,1,0.376,0.378,0.38,0.383,0.035399429,0.037355477,0.041423002,0.040191954,0.00015822,0.000157995,0.000157773,0.000156839
2019-01-14,2,0.109,0.109,0.11,0.111,0.040349983,0.043004587,0.048085017,0.046504838,0.000182637,0.000182637,0.000180976,0.000180389
2019-01-14,3,0.0688,0.0693,0.0697,0.0703,0.04087936,0.04325664,0.048322174,0.04708656,9.66E-05,9.59E-05,9.50E-05,9.48E-05
2019-01-14,4,0.0666,0.0668,0.0671,0.0673,0.027979368,0.029628244,0.032428106,0.032503715,2.66E-05,2.65E-05,2.62E-05,2.63E-05
2019-01-14,5,0.0164,0.0165,0.0165,0.0166,0.032463866,0.034090909,0.038229517,0.036325859,1.88E-05,1.87E-05,1.84E-05,1.85E-05
2019-01-14,6,0.0316,0.0318,0.0319,0.0321,0.028568917,0.029990683,0.032363869,0.032847294,2.34E-05,2.32E-05,2.31E-05,2.30E-05
2019-01-14,7,0.0714,0.0717,0.072,0.0724,0.030150949,0.032123302,0.035365226,0.03580929,1.65E-05,1.63E-05,1.61E-05,1.61E-05
2019-01-14,8,0.0175,0.0176,0.0177,0.0179,0.022751323,0.024200337,0.02622149,0.026963066,1.63E-05,1.62E-05,1.61E-05,1.60E-05
2019-01-14,9,0.00916,0.0092,0.00925,0.0093,0.024007359,0.025664251,0.027402402,0.029370769,1.53E-05,1.52E-05,1.53E-05,1.51E-05
